Subject,Session,state,Phi,Phi_z,Phi_max,Phi_z_max,TR
1,1,16.8144819750026,1562.83782052371,0.965067776745208,17101.9193211063,7.64827236355515,2.22234273318872
1,2,16.2902592707365,1964.40763272802,1.20413922670974,22837.7108640998,9.15767816404773,2.22234273318872
1,3,16.6430120855284,1451.30337079124,0.987811828463344,16682.3813340347,7.68723895675815,2.22234273318872
1,4,16.4066728643735,1761.58346781428,1.05458663619702,16935.9795537093,7.26345707502129,2.22234273318872
2,1,16.1709695926563,1794.12239956971,1.18549340057294,16923.0790862651,8.49397964818363,2.22289156626506
2,2,16.5604686318972,2262.75892164021,0.860236118130181,23549.8427072619,5.38891241258357,2.22222222222222
2,3,16.1856213201116,1906.75532604999,0.850284018959497,20497.0563749675,5.89678290140475,2.22234273318872
2,4,16.3798275215598,1637.36496238095,0.887062970022879,18242.2134234252,6.7545376919755,2.22244094488189
3,1,16.5441391941392,1135.47058042491,0.902524025089112,12204.6401928077,7.09339838107245,2.22307692307692
3,2,16.2629825592789,1524.43304147756,0.784703854862383,18022.4429043621,6.0645953030393,2.22222222222222
3,3,16.6245222600971,1509.29455679579,0.822727772915181,16602.9284022126,6.42663824028022,2.22234273318872
3,4,16.3910753021382,1529.04991871294,0.921506258094104,16011.141027115,6.83200836476197,2.22234273318872
4,1,16.4970484061393,1742.83836025777,0.992869807560346,19624.6826502066,7.72087387311631,2.22314049586777
4,2,16.2934662236988,1573.54756377261,0.798301662076138,18225.6211970155,6.46665646581704,2.22286821705426
4,3,16.4329098233654,1831.24673443343,0.782849247159218,19317.9336454013,5.323819874895,2.22234273318872
4,4,16.0349137485797,1305.41486254209,0.893858419126227,14521.6308872234,7.51764974210436,2.22234273318872
5,1,16.5801053610164,1417.02215400062,0.960093588793807,15738.2374556616,7.22086202070588,2.22234273318872
5,2,16.6781324243363,2036.83371113211,1.03701239975579,21823.1612650325,7.18194607943092,2.22234273318872
5,3,16.4898254312571,1367.18601669869,0.951928717109024,13669.7562621692,6.98413381640266,2.22234273318872
5,4,16.0284503631961,1779.83406570016,1.26259126529901,18337.8720852966,8.90284650508607,2.22245762711864
6,1,16.7177977481665,1544.68011494164,0.898228067949038,16027.0340859002,6.54479726832604,2.22234273318872
6,2,16.4909688013136,1343.23156382759,0.773492490102309,15407.1207917931,6.72594637077423,2.22241379310345
6,3,16.1804610733182,1104.91260269841,0.577226426777937,13829.752277619,5.35138703686139,2.22222222222222
6,4,16.5730706075534,1313.58990506477,0.93118825519132,15016.4652575096,7.10367847810662,2.22222222222222
7,1,16.4809715050679,2462.7079763167,1.19205419745407,26129.0024903213,7.96290528846848,2.22289156626506
7,2,15.8753557199772,2468.97606092582,1.07672780257347,24697.3452981275,6.89971577687908,2.22310756972112
7,3,16.8800743724822,1329.4082294515,0.987938003229096,17367.463513167,8.37434424276365,2.22234273318872
7,4,16.1695011337868,1807.03726228647,1.25521039268223,18882.8116090079,8.86292521769256,2.22222222222222
8,1,16.609416800428,1526.93480333155,1.13314635647816,16622.4598015356,8.59910378274631,2.22284644194757
8,2,16.3634955066625,1349.9594542258,0.990469248354655,15431.7252537961,7.55066673991966,2.22234273318872
8,3,16.0215743440233,1600.58442616327,1.10224094291399,17550.7917959592,8.51643899977154,2.22244897959184
8,4,17.0024790827394,1714.44134457184,1.08095861238199,18252.1243201302,7.8622539999103,2.22234273318872
9,1,16.6575766966223,1494.03905854457,0.952410395882769,15365.1284272234,7.2224442931005,2.22234273318872
9,2,16.9529304029304,1613.54703382234,0.830162235901431,17672.1408476154,6.20179532167281,2.22307692307692
9,3,16.5228798677823,2199.24485551389,1.01572341353052,22446.3101342299,6.67938296042795,2.22234273318872
9,4,16.480218985642,1382.94073911889,0.992393422350674,14074.6069224946,7.2959930739671,2.22234273318872
10,1,16.5259787212065,1465.78226453672,1.00886780659708,16409.3761171367,8.2549772667812,2.22234273318872
10,2,16.1921768707483,1769.59181323885,1.04946289681223,19807.7071040873,8.43298486057056,2.22222222222222
10,3,16.6526181353768,1117.07901542054,0.778835038348536,13993.0810736015,7.11865842354174,2.22222222222222
10,4,16.2049118860143,1708.64886385452,1.00536556216038,19417.5382282677,7.89322770290346,2.22244094488189
11,1,16.5599925009374,1360.78017052681,0.851141235424101,15736.4887322835,6.97564360950975,2.22244094488189
11,2,16.3410804668939,2150.22513107117,0.905942242515279,21644.1821896963,5.64780644145682,2.22234273318872
11,3,16.0177897574124,2626.41029279964,1.09568751482728,26161.3851702264,6.51544176589688,2.22264150943396
11,4,16.2366576819407,2233.32403507098,1.02494169239219,24764.7068469057,7.33159954336663,2.22264150943396
12,1,17.0212787935131,1597.53515594567,0.98784119284459,16640.813538243,7.19659738969356,2.22234273318872
12,2,16.6835164835165,1178.65577706593,0.741934190878668,14728.3072753462,6.41461931737407,2.22307692307692
12,3,16.4550070028011,1798.41259675945,0.837502792507527,18717.4111200735,5.92087372823525,2.22242647058824
12,4,16.3318872017354,1609.67336600455,1.0032670759494,17191.401421692,7.31051595445812,2.22234273318872
13,1,15.9370958259847,2151.56137520478,1.07589368508251,21114.2354889712,6.9063899781257,2.22222222222222
13,2,16.620080570189,1817.56502182316,0.94316261870311,18321.2098525596,6.51631016583867,2.22234273318872
13,3,16.5675033570912,1630.82224118583,0.969942266929678,17470.0050340781,6.98585043470525,2.22234273318872
