subject,Task,Sedation,scan,model01_sampling2,model02_sampling2,model03_sampling2,model04_sampling2,model01_sampling2_5,model02_sampling2_5,model03_sampling2_5,model04_sampling2_5,model01_sampling3,model02_sampling3,model03_sampling3,model04_sampling3
1,1,1,1,0.00338307247811064,0.0191983157762703,0.0121726309524472,0.0217186471022622,0.00427160292740002,0.0145081930578695,0.00613655582597859,0.043111191494626,0.277337534865272,0.12751431987404,0.0205180710386161,0.559760086882533
1,1,1,2,0.0283482787975696,0.629992931667765,0.604685477243374,3.51989594771908,2.25413040754123,2.8541937638181,0.0693718385921667,0.248833527025446,0.00455752531649299,6.62045783526887,0.317103578986609,0.082983848942514
1,1,1,3,0.0283482787975696,0.0182330452859132,0.00479432830548016,0.0501841553505072,2.25413040754123,0.792073675467225,0.00233079451980696,0.581716623288614,0.00455752531649299,1.5836940664815,0.0356377319206183,0.027045438597363
1,1,1,4,0.00730392421782619,0.00910392688836298,0.00479432830548016,0.0501841553505072,1.91080139566358,0.0157602387456031,0.00233079451980696,0.581716623288614,5.21482156667783,0.0114461766147442,0.0356377319206183,0.027045438597363
1,1,1,5,0.0854743932854481,0.0216496791213872,0.0365807374330535,0.0535350511466675,2.26520734016473,0.0887522516391484,0.0523307570945141,0.0112915553694374,0.00180731126835369,0.091920451062297,0.0119698672891641,1.90254890279957
1,1,1,6,0.00338307247811064,0.0430366111738532,0.00699221986160456,0.266776000049596,0.00427160292740002,1.18153452720116,0.00887567518966454,35.7150471221952,0.277337534865272,0.0024913314637664,0.018156423681622,0.55795050429663
1,1,1,7,0.00411526730033774,0.00184407250857868,0.00699221986160456,0.150330953770097,0.840182960888394,0.058781160352107,0.00887567518966454,0.287607661801709,0.00332829618126497,0.00156576526082832,0.018156423681622,0.0455560086613956
1,1,1,8,0.119729610466384,2.69375177988024,0.00871300579966525,0.0217186471022622,0.955168806887112,2.44096122050709,0.00319536894757158,0.043111191494626,0.374275488974876,2.52598384512672,2.25994116076443,0.559760086882533
1,1,1,9,3.86673004176337,2.69375177988024,0.0121726309524472,0.013329199353689,4.70314252951717,2.44096122050709,0.00613655582597859,0.0109740544124192,0.0555382723242042,2.52598384512672,0.0205180710386161,0.00652987801746726
1,1,1,10,3.86673004176337,0.00280926136708419,0.00890119101790835,1.23806085594729,4.70314252951717,0.0187345457679454,0.00437881470322726,0.527942905773459,0.0555382723242042,0.000384767123081357,0.010372610829902,0.0232817923470257
1,1,1,11,0.0854743932854481,0.00297732654662842,0.0503894022007026,0.0501841553505072,2.26520734016473,0.599973494455216,0.0145623979604556,0.581716623288614,0.00180731126835369,0.00127826155036975,0.0298076635669019,0.027045438597363
1,1,1,12,4.08077424600559,0.0216496791213872,0.00566199725296567,0.0535350511466675,0.616936563209308,0.0887522516391484,0.0109239890567321,0.0112915553694374,0.329151546054456,0.091920451062297,7.42926696868823,1.90254890279957
1,1,1,13,4.08077424600559,0.0105397336339102,0.00608797769355176,0.125131994487734,0.616936563209308,0.0365217655719965,0.00400615142658282,0.104302553459684,0.329151546054456,0.11428002655006,0.0874162892666167,5.01916868428161
1,1,1,14,0.000489158571651498,0.000640656530672653,0.00608797769355176,0.125131994487734,0.00323911533974309,0.0141582685572167,0.00400615142658282,0.104302553459684,0.0224369529359353,0.00156432977115515,0.0874162892666167,5.01916868428161
1,1,1,15,0.0283482787975696,2.69375177988024,0.0192768024702789,0.33821659836595,2.25413040754123,2.44096122050709,0.0821854758375142,0.0181396272051259,0.00455752531649299,2.52598384512672,0.0669370269658291,0.0410947599927035
1,1,1,16,3.86673004176337,0.00280926136708419,0.0989380956741773,0.0193371084495894,4.70314252951717,0.0187345457679454,0.0743769656207117,0.108640135353585,0.0555382723242042,0.000384767123081357,0.0337426699323696,0.0236629963244374
1,1,1,17,0.000483202000200331,0.00117932040861728,10.1060827512926,6.8912389689197,0.0053304648100403,0.007490979510169,6.71371015764447,0.0439808350560814,0.00309790028996599,0.00052758169262189,0.127787755763169,0.360206228307708
1,1,1,18,0.000483202000200331,0.00173081288822421,0.0365807374330535,0.0535350511466675,0.0053304648100403,0.0110486350850144,0.0523307570945141,0.0112915553694374,0.00309790028996599,0.0572243935880264,0.0119698672891641,1.90254890279957
1,1,1,19,0.000897750112465162,0.000938164114344131,0.00414245496479716,0.065832647716957,0.00736722400318743,0.0206185590591564,0.00212572042402972,0.0119611184217276,0.00800396871639767,0.00707540759578975,0.0619341114633722,0.0135126712009716
1,1,1,20,0.000785169165026734,0.000640656530672653,0.00608797769355176,0.125131994487734,0.0127191845152231,0.0141582685572167,0.00400615142658282,0.104302553459684,0.157133754649423,0.00156432977115515,0.0874162892666167,5.01916868428161
1,1,1,21,0.000785169165026734,0.0253544577510922,0.00853844602313907,0.150330953770097,0.0127191845152231,11.6841546273555,0.00990551828128377,0.287607661801709,0.157133754649423,0.0227532339228444,0.0121143670388924,0.0455560086613956
1,1,1,22,0.0028669433586798,0.0253544577510922,0.00853844602313907,0.150330953770097,0.127513696232435,11.6841546273555,0.00990551828128377,0.287607661801709,0.0626072298587918,0.0227532339228444,0.0121143670388924,0.0455560086613956
1,1,1,23,0.000658125100012191,0.00117932040861728,0.00745943103111905,0.0129708079332419,0.00628905963556475,0.007490979510169,0.00389183269551145,0.0475799354968332,0.0473373928320365,0.00052758169262189,0.127543001214397,0.922028344770733
1,1,1,24,0.000658125100012191,0.00910392688836298,0.0065094095578015,0.0339148161483641,0.00628905963556475,0.0157602387456031,0.00323061640213416,0.0507041582960616,0.0473373928320365,0.0114461766147442,0.08619441522889,0.217845690180236
