subject,session,SleepStage,model01_sampling2,model02_sampling2,model03_sampling2,model04_sampling2,model01_sampling2_5,model02_sampling2_5,model03_sampling2_5,model04_sampling2_5,model01_sampling3,model02_sampling3,model03_sampling3,model04_sampling3
1,1,0,0.369612354805909,0.411187469273934,2.01424154271498,0.468770780820124,0.874869595947866,0.857418145702273,1.25469239499275,0.764929985997792,1.00759313766488,1.32748346638227,0.211086966784432,0.55413688944901
1,1,3,0.0411503385137127,0.00346232262982362,0.392536282845956,0.0302816603851574,0.0112424194367739,0.236908140693753,0.386276563150038,0.00978974774912575,0.00432837808452636,1.14759645036964,0.0386626443946109,2.58780422807112
1,1,0,0.0085321206082529,1.69260046578153,1.17655599048614,0.376204215279518,0.00850832417859856,0.896015275567239,1.03255700583757,0.151399529529529,0.154615455605093,0.885298725416093,0.037620508474142,0.92593711499441
1,1,0,0.714704681321772,2.07954982841688,0.0841356906056941,0.42959500301305,1.73708794393052,1.475627999219,0.200318681142747,0.77037525014775,1.78221460398368,1.92548094560658,0.114780650286912,0.2226410998822
1,1,0,1.17264326649062,0.0182837541787575,1.26484738056254,1.17207289228956,1.1832097273559,0.203614421359054,0.910910679444227,1.06713049331875,1.20278152800739,0.163830562237275,0.0774436792234143,0.418616286185209
1,1,0,1.88617849038335,2.09520691273667,2.06620965939796,1.9587169700481,2.90996793647074,1.28661110053419,1.24141548407017,1.97125215880774,2.8517264071277,0.777011509479893,0.0898751569128488,1.50184478761865
1,1,3,0.008392633520518,0.00447392522589436,1.25127756296845,0.741385878514174,0.00409835275763428,0.462296836198706,0.705836264556924,0.303667768683185,0.0500833649157985,1.89256786616406,0.0501870100976474,1.83853594474732
1,1,3,0.0251866002734077,0.300122332723217,0.936961403593364,0.434417119318352,0.0126599642252345,0.720838454479577,0.732201972071724,0.771234864958558,0.0293769651696919,0.583005444806475,0.0417383358495555,3.49105008868393
1,1,1,1.98976431128565,1.69764151725492,2.02550213150434,1.36528711784831,1.47802577160657,0.742094706534952,1.31383694054084,0.91517411815528,1.39551684943134,0.738625525248022,0.11685688282776,0.543867698166693
1,1,2,0.810990866572362,2.08526093874787,1.3940340739006,0.832252946809549,0.306875015682684,1.34322423904293,0.996968739669562,0.916629930493941,0.227900201177879,0.881108902359697,0.117541039568578,0.812689595360525
1,1,3,0.0164312719233031,0.00852246821679146,2.06376968518949,2.51901432959536,0.00553435838567835,0.155669814960678,1.16614250754222,1.98284628147091,0.040755423108357,0.600946133451575,0.132747415679943,0.297936195904595
1,1,3,0.723875611370736,0.00608633058155165,0.401962935921054,0.443561721312136,1.74525099516985,0.114917748561937,0.984136720448493,0.76583316367457,1.68419632730631,0.654159863958697,2.66984836807724,2.48938735855306
1,1,3,0.00839020823335572,2.37367057219453,0.414596992732433,1.0325062773577,0.00405847469277147,1.87876308063617,1.11899119255469,0.298546297172007,0.0411976949901458,0.868479318714515,2.77677603532856,1.62769609917714
1,1,3,1.99004347420211,0.0135346522353356,0.643927065493827,0.456657211265322,1.47991591645414,0.264972907169222,0.846787856134409,0.770641644627942,1.41110060869905,1.14881840858581,0.0406360481580744,0.457174536896404
1,1,1,2.35147083728624,0.302709327442297,0.0220797789392481,0.274956351025025,2.34587233835489,0.6387237203221,0.141676424265595,0.00902062881211237,2.09117868492977,0.122879027873257,0.0489545209472268,0.417795589563938
1,1,3,0.369663612016868,0.002169038021226,0.427959560751377,0.0111176659373188,0.871672379023639,0.0375354713331277,0.195269580715086,0.00141212489195203,0.841792608494684,0.156468754849962,0.0388483344589625,3.24111309550597
1,1,3,0.00928863650705953,0.0179263482164262,2.49231485272301,2.32963620855842,0.0141075261871484,0.361086262401873,1.37941901978975,2.13205025045394,0.399180965956163,1.24718805167735,0.0951655409352269,1.76931878595596
1,1,1,0.0407319862469276,0.0190490000952377,1.75900425729865,1.32059042630133,0.012492916142975,0.457678527637679,1.4199356433818,2.2905006263355,0.145887650836502,1.42860665803812,0.195730677059885,0.486696886410347
1,1,3,0.000371327211897508,1.69476412754676,1.37217647884195,1.95917185614767,0.00519223031755105,0.869632170015935,1.10283160027684,1.97168098405918,0.103555121304443,0.757591551251038,0.154206783113619,3.3932314428854
1,1,3,1.52496384405553,0.293362800047616,1.2471746906178,0.814339079378812,2.04308601196983,0.889828054394764,0.780493388128945,0.918955895490035,1.89507925226894,1.29090964017924,0.196435319885361,0.318334815374889
1,1,3,0.378076306526916,1.68705754457894,0.391188291210177,0.461788069431084,0.873866903367082,0.675726939694887,0.462511805060032,0.771724914102955,0.837329427911279,0.572210493507143,0.108186348914504,0.724892281289147
1,1,3,1.19614314197103,0.880490949560007,0.863580096970112,0.39860733369432,1.1778071410779,1.78147050033089,0.37822481067143,0.149888576224357,1.05198898681224,0.133320882231462,0.0140307917462461,2.05482551526903
1,1,3,0.00910773731298162,0.0190947348448946,1.63364237816426,0.440116786451619,0.0136231018862194,0.206250681749206,1.05930654803204,0.770670049792365,0.268113412501619,0.573577297241047,0.083262738715911,0.284895351109061
1,1,3,1.18810062030105,0.590269785921527,0.409658408660599,0.00327378002498107,1.18077201867453,1.44645478340724,0.423996340346601,0.00137063762060656,1.07931264499299,1.27097535092178,0.109902003492204,0.498708551964547
1,1,3,0.00849997751649327,2.08036940252065,0.637830753847984,1.00746089909462,0.00642191247045282,1.47622788799128,0.644063946624416,0.298617126974125,0.259479646949325,1.92872304096108,0.108430458098353,1.83836192660056
1,1,3,0.36982503637265,0.597258780881652,0.601279219760302,0.280098052756322,0.878523012673481,1.43805960850823,0.509522812633963,0.00671198950011311,0.890144778084338,1.23984622228026,0.13669281271819,0.694828375362007
1,1,3,0.354003285018498,0.69980412563143,1.66245219065699,0.37797559762986,0.879972876313623,1.14681081424141,1.01012766417691,0.153125201560285,1.14304354926822,0.200141840612477,0.236182841083266,0.442188459922388
1,1,3,1.17164482142541,2.26912264070067,0.681328848212291,0.0133476919935804,1.17694348770576,1.91736094474565,0.69612395173325,0.0146616500150703,1.19515255107876,0.694610955655918,0.0128938950412504,3.79991902301064
1,1,3,1.16390408763164,0.800090311263224,0.938236112488601,0.463122373856162,1.1750611412655,1.10665927053143,0.819575738862833,0.767887239120426,1.09180149340841,0.353200978272862,0.0447496269144784,2.06306625107531
1,1,3,0.369964621531295,0.402753285265532,0.550466840686085,0.00770919953861386,0.87304669236631,0.634052700204981,0.503600962014897,0.00170716406765891,0.885432317284587,0.300941915202715,0.00853188674236833,1.92466583133849
